GEOID,Rate_poor_fair_health,provcount_b,provcount_c,injury_deaths_per_100000
26147,0.17300000000000001,15,10,72.1
26149,0.177,15,9,60.6
26151,0.142,15,9,72.4
26153,,8,7,85.2
26155,0.174,22,16,67.9
26157,0.15,15,10,58.6
26159,0.18600000000000003,16,10,71.9
26161,0.096,25,14,42.7
26163,0.17600000000000002,29,16,72.8
26165,0.19,14,9,78.3
27001,0.16899999999999998,14,10,92.7
27003,0.11599999999999999,27,20,47.7
27005,0.102,10,7,70.0
27007,0.11,12,9,71.7
27009,0.122,20,13,52.4
27011,,12,9,68.5
27013,0.106,21,15,39.1
27015,0.096,21,17,57.4
27017,0.098,18,10,74.8
27019,0.081,26,20,43.2
27021,0.133,18,15,88.4
27023,0.16699999999999998,17,12,69.8
27025,0.13,15,10,68.7
27027,0.10800000000000001,16,11,48.2
27029,0.08800000000000001,11,8,57.6
27031,0.102,9,6,76.8
27033,0.218,21,14,61.7
27035,0.156,18,13,61.4
27037,0.098,29,21,47.9
27039,,13,11,62.8
27041,0.10800000000000001,14,10,55.9
27043,0.10400000000000001,14,12,71.5
27045,0.09,13,13,84.2
27047,0.135,21,14,75.6
27049,0.092,24,15,94.5
27051,,10,8,76.4
27053,0.08900000000000001,33,23,57.7
27055,0.102,12,9,63.2
27057,0.125,11,10,79.6
27059,0.125,17,10,53.7
27061,0.13699999999999998,19,12,72.4
27063,0.059000000000000004,18,15,52.5
27065,0.13699999999999998,11,9,73.9
27067,0.10400000000000001,21,14,58.4
27069,,9,7,57.2
27071,0.124,11,8,88.8
27073,,13,11,110.5
27075,0.195,13,8,70.0
27077,,9,7,79.2
27079,0.128,22,18,43.3
27081,,13,10,54.5
27083,0.124,20,12,50.5
27085,0.083,17,10,62.4
27087,,6,5,92.1
27089,0.106,11,10,44.3
27091,0.105,14,11,64.6
27093,0.10400000000000001,18,14,61.0
27095,0.13,13,10,83.0
27097,0.174,20,16,75.9
27099,0.11599999999999999,23,17,63.9
27101,,15,13,85.1
27103,0.077,19,14,36.7
27105,,17,14,48.7
27107,0.115,8,6,64.7
27109,0.057999999999999996,26,17,47.5
27111,0.122,18,14,61.4
27113,,11,7,65.9
27115,0.133,14,8,76.4
27117,,15,12,79.7
27119,0.113,18,12,73.2
27121,0.08900000000000001,18,14,72.9
27123,0.109,29,19,52.1
27125,,7,5,68.3
27127,0.073,17,11,71.3
27129,0.177,20,15,85.5
27131,0.10800000000000001,22,16,51.5
27133,,17,12,101.9
27135,0.086,9,6,53.6
27137,0.129,26,17,71.1
27139,0.091,27,20,40.7
27141,0.138,20,14,47.7
27143,,14,10,77.7
27145,0.098,27,21,47.0
27147,0.07200000000000001,21,15,54.2
27149,0.193,11,9,63.9
27151,,11,9,67.6
27153,0.132,14,12,62.1
27155,,11,10,84.4
27157,0.091,13,9,66.5
27159,0.136,8,7,59.4
27161,0.106,15,12,42.9
27163,0.086,24,18,38.1
27165,0.08199999999999999,15,13,71.6
27167,,12,11,51.6
27169,0.091,18,12,56.0
27171,0.094,23,17,46.8
27173,,15,11,71.4
28001,0.231,13,8,81.2
28003,0.255,11,9,98.4
28005,0.222,8,7,74.6
28007,0.297,12,7,85.2
28009,0.21100000000000002,7,6,119.1
28011,0.196,11,8,87.6
28013,0.225,9,7,105.9
28015,0.203,6,7,94.9
28017,0.242,9,9,83.9
28019,0.187,5,6,86.9
28021,0.20600000000000002,6,6,84.9
28023,0.20800000000000002,7,6,92.2
28025,0.272,9,6,64.0
