GEOID,urban,FluVax_BlackRate,FluVax_NHWhiteRate,FluVax_WholeRate
16081,0,,32.0,32
16083,0,33.0,51.0,50
16085,0,,47.0,47
16087,0,,32.0,31
17001,0,35.0,44.0,44
17003,1,23.0,42.0,37
17005,1,29.0,49.0,48
17007,1,26.0,50.0,48
17009,0,,34.0,34
17011,0,22.0,42.0,42
17013,1,,47.0,47
17015,0,0.0,51.0,50
17017,0,,43.0,43
17019,1,35.0,52.0,50
17021,0,44.0,44.0,44
17023,0,,45.0,45
17025,0,,39.0,39
17027,1,27.0,43.0,43
17029,0,25.0,47.0,46
17031,1,33.0,55.0,49
17033,0,17.0,39.0,39
17035,0,,43.0,43
17037,1,29.0,56.0,54
17039,0,,42.0,42
17041,0,,46.0,46
17043,1,40.0,59.0,57
17045,0,,35.0,35
17047,0,,40.0,40
17049,0,,36.0,35
17051,0,,41.0,41
17053,1,,33.0,33
17055,0,18.0,37.0,37
17057,0,17.0,37.0,36
17059,0,,32.0,33
17061,0,,37.0,37
17063,1,20.0,50.0,49
17065,0,0.0,38.0,37
17067,0,0.0,42.0,42
17069,0,,17.0,17
17071,0,,46.0,46
17073,1,28.0,47.0,47
17075,0,23.0,41.0,41
17077,0,25.0,42.0,40
17079,0,,44.0,44
17081,0,33.0,48.0,47
17083,1,,42.0,42
17085,0,,48.0,48
17087,0,,42.0,42
17089,1,35.0,57.0,53
17091,1,34.0,52.0,50
17093,1,41.0,59.0,57
17095,0,43.0,55.0,55
17097,1,35.0,59.0,57
17099,0,34.0,47.0,47
17101,0,40.0,47.0,46
17103,0,31.0,41.0,41
17105,0,44.0,55.0,54
17107,0,26.0,43.0,43
17109,0,37.0,47.0,47
17111,1,41.0,55.0,55
17113,1,37.0,60.0,59
17115,1,31.0,53.0,50
17117,1,38.0,39.0,39
17119,1,35.0,52.0,51
17121,0,30.0,47.0,46
17123,1,50.0,47.0,47
17125,0,,41.0,40
17127,0,29.0,47.0,46
17129,1,,41.0,41
17131,1,,48.0,47
17133,1,,54.0,54
17135,0,21.0,31.0,31
17137,0,37.0,50.0,50
17139,0,50.0,50.0,50
17141,0,43.0,51.0,50
17143,1,35.0,54.0,52
17145,0,20.0,35.0,34
17147,1,,51.0,51
17149,0,,21.0,21
17151,0,,28.0,28
17153,0,22.0,40.0,35
17155,0,,39.0,39
17157,0,20.0,30.0,30
17159,0,,47.0,47
17161,1,32.0,56.0,54
17163,1,31.0,49.0,45
17165,0,15.0,23.0,22
17167,1,34.0,54.0,52
17169,0,,36.0,36
17171,0,,43.0,43
17173,0,,50.0,50
17175,1,,48.0,47
17177,0,32.0,51.0,50
17179,1,55.0,57.0,57
17181,0,44.0,50.0,50
17183,1,22.0,35.0,34
17185,0,,38.0,38
17187,0,18.0,38.0,37
17189,0,,48.0,48
17191,0,,47.0,47
17193,0,,43.0,44
17195,0,28.0,47.0,46
17197,1,35.0,52.0,50
17199,0,32.0,41.0,41
17201,1,30.0,51.0,49
17203,1,55.0,51.0,51
17990,0,,72.0,63
18001,0,,48.0,48
18003,1,33.0,55.0,52
18005,1,49.0,60.0,60
18007,1,,53.0,52
18009,0,,54.0,54
18011,1,47.0,59.0,59
18013,1,,54.0,54
18015,1,,53.0,53
18017,0,27.0,52.0,51
18019,1,43.0,53.0,52
18021,1,44.0,42.0,42
18023,0,25.0,59.0,59
18025,0,,39.0,39
18027,0,27.0,37.0,37
18029,1,50.0,56.0,55
18031,0,0.0,38.0,38
18033,0,25.0,51.0,51
18035,1,33.0,55.0,54
18037,0,,51.0,51
18039,1,38.0,54.0,53
18041,0,35.0,46.0,46
18043,1,39.0,55.0,54
18045,0,,45.0,45
18047,1,,48.0,48
18049,0,39.0,50.0,50
18051,1,43.0,59.0,59
18053,0,32.0,50.0,49
18055,1,,41.0,40
18057,1,46.0,64.0,64
18059,1,39.0,62.0,61
18061,1,31.0,54.0,54
18063,1,37.0,61.0,61
18065,0,32.0,38.0,38
18067,1,29.0,48.0,47
18069,0,47.0,54.0,54
18071,0,19.0,55.0,55
18073,1,,48.0,48
18075,0,,54.0,54
18077,0,37.0,55.0,55
18079,0,41.0,48.0,48
18081,1,32.0,58.0,58
18083,0,48.0,52.0,52
18085,0,28.0,54.0,53
18087,0,,52.0,52
18089,1,25.0,48.0,43
18091,1,34.0,54.0,52
18093,0,43.0,49.0,49
18095,1,36.0,55.0,54
18097,1,37.0,56.0,51
18099,0,50.0,54.0,54
18101,0,,31.0,31
18103,0,19.0,44.0,43
18105,1,37.0,56.0,56
18107,0,36.0,57.0,57
18109,1,38.0,55.0,55
18111,1,,44.0,44
18113,0,42.0,52.0,51
18115,1,,54.0,54
18117,0,,41.0,41
18119,1,,50.0,50
18121,0,,48.0,48
18123,0,,42.0,42
18125,0,,37.0,37
18127,1,27.0,50.0,49
18129,1,54.0,64.0,63
18131,0,,34.0,34
18133,1,30.0,50.0,49
18135,0,21.0,39.0,39
18137,0,,52.0,52
18139,0,38.0,51.0,50
18141,1,36.0,56.0,54
18143,0,,46.0,46
18145,1,38.0,41.0,40
18147,0,33.0,56.0,56
18149,0,,35.0,35
18151,0,,54.0,54
18153,1,,49.0,49
18155,0,,54.0,54
