Geographic Area Name,Rate_Unemployment_Whole,Rate_Unemployment_White,Rate_Unemployment_Black,Rate_Unemployment_AIndA,Rate_Unemployment_Asian,Unemployment Parity
"Searcy, Arkansas",0.038,0.027000000000000003,,0.273,0.0,
"Sebastian, Arkansas",0.048,0.043,0.081,0.02,0.027000000000000003,-0.038000000000000006
"Sevier, Arkansas",0.055,0.047,0.156,0.0,0.0,-0.109
"Sharp, Arkansas",0.043,0.039,0.0,0.0,0.0,0.039
"Stone, Arkansas",0.063,0.054000000000000006,,0.0,0.0,
"Union, Arkansas",0.05,0.036000000000000004,0.066,0.141,0.168,-0.03
"Van Buren, Arkansas",0.07400000000000001,0.077,0.0,0.0,0.0,0.077
"Washington, Arkansas",0.048,0.042,0.07,0.1,0.032,-0.028000000000000004
"White, Arkansas",0.057,0.057999999999999996,0.08900000000000001,0.008,0.0,-0.031000000000000014
"Woodruff, Arkansas",0.078,0.061,0.141,,0.0,-0.07999999999999999
"Yell, Arkansas",0.042,0.045,0.0,0.0,0.05,0.045
"Alameda, California",0.046,0.04,0.08800000000000001,0.092,0.039,-0.04800000000000001
"Alpine, California",0.125,0.069,1.0,0.196,,-0.931
"Amador, California",0.069,0.07,0.0,0.01,0.0,0.07
"Butte, California",0.081,0.08,0.203,0.066,0.059000000000000004,-0.12300000000000001
"Calaveras, California",0.064,0.063,0.45899999999999996,0.0,0.0,-0.39599999999999996
"Colusa, California",0.043,0.038,0.07400000000000001,0.0,0.083,-0.03600000000000001
"Contra Costa, California",0.053,0.045,0.10300000000000001,0.085,0.040999999999999995,-0.05800000000000001
"Del Norte, California",0.077,0.057,0.0,0.162,0.0,0.057
"El Dorado, California",0.055,0.053,0.099,0.075,0.044000000000000004,-0.046000000000000006
"Fresno, California",0.087,0.076,0.175,0.127,0.078,-0.09899999999999999
"Glenn, California",0.053,0.055999999999999994,0.0,0.091,0.005,0.055999999999999994
"Humboldt, California",0.078,0.065,0.151,0.149,0.114,-0.086
"Imperial, California",0.142,0.14,0.163,0.187,0.01,-0.022999999999999993
"Inyo, California",0.040999999999999995,0.037000000000000005,0.051,0.087,0.019,-0.013999999999999992
"Kern, California",0.098,0.09300000000000001,0.15,0.136,0.051,-0.05699999999999998
"Kings, California",0.076,0.071,0.08199999999999999,0.055,0.081,-0.010999999999999996
"Lake, California",0.087,0.083,0.125,0.156,0.0,-0.041999999999999996
"Lassen, California",0.065,0.053,0.168,0.341,0.22,-0.11500000000000002
"Los Angeles, California",0.061,0.057999999999999996,0.1,0.08,0.046,-0.04200000000000001
"Madera, California",0.087,0.07400000000000001,0.132,0.203,0.028999999999999998,-0.057999999999999996
"Marin, California",0.037000000000000005,0.037000000000000005,0.043,0.02,0.027000000000000003,-0.0059999999999999915
"Mariposa, California",0.083,0.079,0.21899999999999997,0.048,0.0,-0.13999999999999996
