GEOID,hesitancy,strong_hesitancy
21199,0.21,0.1
21201,0.22,0.1
21203,0.23,0.11
21205,0.22,0.1
21207,0.22,0.1
21209,0.19,0.09
21211,0.17,0.08
21213,0.22,0.1
21215,0.18,0.08
21217,0.22,0.1
21219,0.22,0.1
21221,0.22,0.1
21223,0.17,0.08
21225,0.2,0.09
21227,0.18,0.08
21229,0.2,0.09
21231,0.21,0.1
21233,0.2,0.09
21235,0.23,0.11
21237,0.23,0.11
21239,0.19,0.09
22001,0.24,0.11
22003,0.24,0.11
22005,0.21,0.09
22007,0.25,0.12
22009,0.27,0.13
22011,0.24,0.11
22013,0.25,0.11
22015,0.24,0.1
22017,0.23,0.11
22019,0.24,0.11
22021,0.26,0.12
22023,0.24,0.11
22025,0.27,0.13
22027,0.25,0.11
22029,0.27,0.13
22031,0.25,0.11
22033,0.21,0.09
22035,0.26,0.12
22037,0.24,0.11
22039,0.25,0.12
22041,0.26,0.12
22043,0.27,0.13
22045,0.25,0.11
22047,0.24,0.11
22049,0.26,0.12
22051,0.21,0.09
22053,0.24,0.11
22055,0.22,0.1
22057,0.25,0.12
22059,0.27,0.13
22061,0.25,0.11
22063,0.25,0.11
22065,0.26,0.12
22067,0.26,0.12
22069,0.25,0.11
22071,0.21,0.1
22073,0.23,0.11
22075,0.24,0.11
22077,0.24,0.11
22079,0.25,0.11
22081,0.25,0.11
22083,0.26,0.12
22085,0.25,0.11
22087,0.24,0.11
22089,0.22,0.1
22091,0.25,0.11
22093,0.22,0.1
22095,0.22,0.1
22097,0.25,0.12
22099,0.25,0.11
22101,0.25,0.11
22103,0.2,0.09
22105,0.25,0.11
22107,0.26,0.12
22109,0.24,0.11
22111,0.26,0.12
22113,0.24,0.11
22115,0.25,0.11
22117,0.25,0.11
22119,0.24,0.1
22121,0.24,0.11
22123,0.26,0.12
22125,0.24,0.11
22127,0.27,0.13
23001,0.13,0.08
23003,0.14,0.09
23005,0.11,0.07
23007,0.14,0.09
23009,0.13,0.08
23011,0.13,0.08
23013,0.13,0.08
23015,0.13,0.08
23017,0.14,0.09
23019,0.13,0.08
23021,0.14,0.09
23023,0.11,0.07
23025,0.14,0.09
23027,0.13,0.08
23029,0.14,0.09
23031,0.11,0.07
24001,0.16,0.05
24003,0.12,0.03
24005,0.12,0.03
24009,0.13,0.04
24011,0.13,0.04
24013,0.11,0.03
24015,0.14,0.04
24017,0.13,0.04
24019,0.13,0.04
24021,0.11,0.03
24023,0.16,0.05
24025,0.12,0.03
24027,0.09,0.02
24029,0.13,0.04
24031,0.1,0.03
24033,0.13,0.04
24035,0.13,0.04
24037,0.13,0.04
24039,0.15,0.04
24041,0.13,0.04
24043,0.15,0.04
24045,0.15,0.04
24047,0.15,0.04
24510,0.15,0.04
25001,0.06,0.03
25003,0.08,0.03
25005,0.09,0.04
25007,0.06,0.03
25009,0.07,0.03
25011,0.08,0.03
25013,0.08,0.04
