Geographic Area Name,HighSchool_WholeRate,Bachelor_WholeRate,HighSchool_WhiteRate,Bachelor_WhiteRate,HighSchool_NHWhiteRate,Bachelor_NHWhiteRate,HighSchool_BlackRate,Bachelor_BlackRate
"Otero, Colorado",87.2,18.6,87.2,19.1,93.3,26.1,100.0,18.8
"Ouray, Colorado",97.8,47.8,97.7,47.7,97.7,47.6,,
"Park, Colorado",97.7,29.8,97.7,30.6,97.7,30.7,87.5,16.1
"Phillips, Colorado",88.5,23.8,88.8,23.9,93.5,27.0,100.0,0.0
"Pitkin, Colorado",96.9,60.8,98.0,63.0,99.3,64.7,100.0,0.0
"Prowers, Colorado",80.5,18.3,80.7,18.5,91.9,23.2,97.3,54.1
"Pueblo, Colorado",89.7,21.8,91.5,23.7,94.0,27.5,90.3,17.1
"Rio Blanco, Colorado",91.9,22.7,92.9,23.0,94.0,22.1,100.0,100.0
"Rio Grande, Colorado",87.0,24.5,87.7,25.0,93.9,32.9,97.1,41.0
"Routt, Colorado",96.8,49.8,97.0,50.3,97.6,51.7,94.4,55.4
"Saguache, Colorado",83.1,22.1,83.7,23.1,92.9,30.3,100.0,0.0
"San Juan, Colorado",93.8,35.7,94.9,34.8,99.0,37.5,,
"San Miguel, Colorado",96.8,59.4,96.7,59.0,97.1,60.6,100.0,0.0
"Sedgwick, Colorado",87.0,19.5,88.0,19.8,89.4,21.3,100.0,0.0
"Summit, Colorado",92.9,52.4,95.8,54.2,97.2,56.9,11.8,0.0
"Teller, Colorado",97.2,37.7,97.5,36.8,97.5,37.7,88.7,34.5
"Washington, Colorado",91.9,15.4,92.3,15.2,94.1,15.9,70.4,11.1
"Weld, Colorado",88.1,27.5,89.1,28.0,95.4,33.5,84.2,27.2
"Yuma, Colorado",88.6,21.8,89.1,22.3,95.1,24.7,100.0,2.7
"Fairfield, Connecticut",90.0,47.9,93.0,53.1,95.8,57.9,85.6,23.1
"Hartford, Connecticut",89.7,38.1,92.1,41.2,94.2,43.8,86.8,21.1
