GEOID,FQHC Count,FacDensity10K,HOPD count,PHMCY Count,RUHC Count
17035,1,2.7866,0,2,0
17037,2,1.6206,1,14,0
17039,0,1.2789,0,2,0
17041,0,1.0275,0,2,0
17043,12,1.7445,6,143,0
17045,0,2.3309,0,4,0
17047,1,1.5636999999999999,0,0,0
17049,1,4.4107,1,7,6
17051,1,2.8121,0,2,3
17053,0,1.5431,0,2,0
17055,2,2.3395,0,5,2
17057,0,2.0384,1,6,0
17059,1,8.285,0,1,2
17061,0,3.0843,0,4,0
17063,0,1.3711,1,6,0
17065,0,2.4643,0,1,1
17067,1,2.2589,0,3,0
17069,2,7.8513,0,1,0
17071,3,4.513999999999999,0,0,0
17073,0,2.0444,0,8,2
17075,1,1.8441,1,3,0
17077,12,4.9338999999999995,1,11,4
17079,0,2.0812,0,2,0
17081,1,3.1844,2,7,2
17083,0,1.8371,1,3,0
17085,0,1.8837000000000002,0,4,0
17087,2,4.0267,0,3,0
17089,18,1.5026000000000002,5,57,0
17091,2,1.7294,2,15,0
17093,0,1.3955,0,18,0
17095,1,2.0121,2,7,0
17097,10,1.7659,5,108,0
17099,1,2.0245,2,18,1
17101,0,1.9135,0,2,1
17103,0,1.1732,1,3,0
17105,0,1.6831,1,5,0
17107,1,2.0966,0,3,2
17109,0,1.6844999999999999,1,4,0
17111,3,1.5596,2,43,0
17113,2,1.8074,2,27,0
17115,8,2.4998,2,16,0
17117,8,5.3421,0,10,6
17119,7,2.0915,4,44,0
17121,1,3.2254,1,10,0
17123,0,2.6228,0,2,1
17125,0,1.4971,0,2,0
17127,1,2.9044,0,2,1
17129,0,2.4598,0,3,0
17131,0,1.2955999999999999,0,2,0
17133,0,2.3097,0,8,0
17135,0,2.8155,0,5,3
17137,2,2.674,1,4,2
17139,2,2.7584,0,2,0
17141,0,0.7898,0,4,0
17143,7,2.5673,3,36,0
17145,1,1.9123999999999999,0,3,0
17147,0,1.2237,0,2,0
17149,1,3.2132,0,3,1
17151,1,2.3941,0,0,0
17153,2,5.6232,0,1,0
17155,0,0.0,0,0,0
17157,1,1.8879000000000001,0,5,0
17159,1,3.2231,1,3,0
17161,4,2.185,2,25,0
17163,16,2.1179,4,35,0
17165,2,4.2569,1,6,1
17167,9,2.5171,2,38,0
17169,0,2.9551,0,2,0
17171,0,2.0198,0,1,0
17173,0,1.8489,1,3,0
17175,1,1.8719999999999999,0,0,0
17177,0,1.5731000000000002,1,6,0
17179,2,2.2003,1,26,0
17181,1,3.6029999999999998,0,4,1
17183,1,1.716,1,9,2
17185,0,1.7361,0,1,1
17187,0,1.1874,0,2,0
17189,0,2.8804,0,3,1
17191,1,2.4669,0,3,0
17193,2,3.6936,0,3,0
17195,3,2.1749,1,8,0
17197,9,1.5201,3,93,0
17199,5,3.7539,2,13,5
17201,11,1.9818,3,42,0
17203,0,1.0401,0,4,0
18001,0,1.9566,0,6,1
18003,3,1.7664,6,58,0
18005,1,1.9098000000000002,1,14,0
18007,0,1.1431,0,1,0
18009,0,0.8505,0,1,0
18011,2,2.6532,1,15,0
18013,0,1.3252,0,2,0
18015,4,3.4556,0,2,1
18017,2,2.9186,1,8,0
18019,4,2.5359,2,24,0
18021,0,2.6692,0,6,1
18023,1,1.8519,0,5,0
18025,2,3.7818,0,2,0
18027,0,2.3987,1,4,3
18029,0,2.0219,1,8,1
18031,0,1.8826,0,5,0
18033,0,1.1501000000000001,1,4,0
18035,16,3.3294,1,21,0
18037,0,2.8079,1,10,1
18039,9,2.5201000000000002,2,41,0
18041,1,2.5972,1,3,1
18043,1,2.5471,2,17,0
18045,0,3.0589,0,5,0
18047,0,0.4394,0,1,0
18049,0,3.0039,0,6,0
18051,2,2.6739,0,7,0
18053,4,2.2807,1,10,0
18055,2,1.8796,0,4,0
18057,3,2.1301,6,63,0
18059,1,1.6631,1,11,0
18061,1,1.4809,0,5,0
18063,0,1.8789,2,30,0
18065,1,1.8761,1,6,1
18067,1,2.6652,2,19,0
18069,0,1.9167999999999998,1,6,0
18071,2,3.1652,1,10,1
18073,0,2.3836,0,8,0
18075,2,2.9360000000000004,0,4,0
18077,0,3.4047,1,8,2
18079,0,2.8844,0,7,1
18081,4,2.4025,1,33,0
18083,2,2.7327,1,6,1
18085,0,1.6360999999999999,1,12,0
18087,0,1.5146,0,4,2
18089,33,2.3893,9,74,0
18091,3,2.093,2,18,0
18093,0,1.9837,0,9,0
18095,19,3.3959,2,23,0
18097,81,2.9234999999999998,8,193,0
18099,0,2.5941,1,11,0
18101,0,1.9503,0,2,0
18103,1,1.1263,0,3,0
18105,1,1.5495,2,20,0
18107,2,2.3475,1,6,0
18109,0,1.5605,1,10,0
18111,0,1.4302000000000001,0,2,0
18113,0,1.8851,1,8,0
18115,0,1.7021,0,1,0
18117,2,3.5631,0,4,1
18119,1,1.9232,0,3,0
18121,2,3.5425,0,3,1
18123,0,1.0434,0,2,0
18125,0,2.4215,0,1,2
18127,10,2.0541,1,24,0
18129,0,0.3933,0,1,0
18131,0,2.4286,0,3,0
18133,1,1.8629,0,6,0
18135,0,2.838,0,5,2
18137,0,1.7652999999999999,0,5,0
18139,1,2.4124,0,3,0
18141,11,2.5016,3,54,0
18143,1,2.5133,0,5,0
18145,2,2.2357,1,7,0
18147,0,0.4932,0,1,0
18149,3,3.9139,1,4,1
18151,0,1.4453,0,5,0
18153,0,2.4191,0,4,1
18155,0,0.9301,0,1,0
18157,3,1.9414,2,33,0
18159,1,1.3203,0,1,0
18161,1,4.2529,0,2,0
18163,4,2.8106999999999998,2,45,0
18165,3,3.2262,0,2,0
18167,4,2.8962,1,25,1
18169,0,1.9357,0,6,0
18171,0,0.0,0,0,0
18173,0,2.3810000000000002,2,13,0
18175,1,1.7833999999999999,0,4,0
18177,5,2.8839,1,13,0
18179,1,1.767,1,3,0
18181,3,3.3192,0,5,0
18183,0,1.7666,1,5,0
19001,0,1.3982,0,0,1
19003,0,2.7762000000000002,0,1,0
19005,0,3.6531000000000002,0,3,2
19007,2,3.2191,0,2,0
19009,0,1.8195000000000001,0,1,0
19011,1,2.7296,0,6,0
19013,1,2.0575,3,23,0
19015,0,2.2871,0,6,0
19017,0,2.7931,0,6,1
19019,0,1.4168,0,3,0
19021,1,3.0581,0,5,0
19023,1,1.3851,0,1,0
19025,0,4.1374,0,4,0
19027,0,3.4714,1,6,0
19029,0,2.3372,0,3,0
19031,0,2.6843,0,3,2
19033,1,3.5336,1,12,1
19035,0,2.6702,0,3,0
19037,0,0.838,0,1,0
19039,1,4.2576,0,2,1
19041,0,3.1219,1,4,0
19043,0,2.2793,0,4,0
19045,1,2.1538,1,8,0
19047,0,1.7835999999999999,0,3,0
19049,0,0.9631,0,7,2
19051,0,2.2222,0,2,0
19053,7,11.4358,0,2,0
19055,0,1.7635999999999998,0,3,0
19057,1,2.3096,1,6,1
19059,0,2.8971999999999998,1,4,0
19061,2,2.8773999999999997,2,24,0
19063,0,2.1719999999999997,0,2,0
19065,0,2.5445,0,5,0
19067,0,1.2786,0,2,0
19069,0,1.9861,0,2,0
19071,0,4.3103,0,2,1
19073,0,2.2502,0,2,0
19075,0,2.4526,0,3,0
19077,0,2.8066,0,3,0
19079,0,1.3538000000000001,0,2,0
19081,0,0.9407,0,1,0
19083,0,2.9680999999999997,0,5,0
19085,0,1.4236,0,2,0
19087,0,2.0046,0,4,0
19089,0,2.1839,0,2,0
19091,0,3.1387,0,3,0
19093,0,1.4577,0,1,0
19095,0,3.0895,0,4,1
19097,0,2.0577,0,4,0
19099,0,2.4203,1,8,0
19101,5,4.9193999999999996,0,4,0
19103,1,1.7864,2,24,0
19105,1,2.9012000000000002,0,5,0
19107,4,3.904,0,0,0
19109,0,1.3502,0,2,0
19111,2,3.5654,2,7,1
19113,4,1.9407999999999999,2,38,0
19115,1,3.6248,0,2,1
19117,1,2.3256,0,1,0
19119,0,1.7014,0,2,0
19121,0,3.0604,0,5,0
19123,1,1.8104,0,3,0
19125,0,2.7065,0,9,0
19127,3,2.5401,1,6,0
19129,0,1.9856,0,3,0
19131,0,0.9446,0,1,0
19133,0,3.4823,0,2,1
19135,6,9.082699999999999,0,1,0
19137,0,2.0167,0,2,0
19139,2,2.3439,1,7,0
19141,0,2.9085,0,4,0
19143,0,1.6784,0,1,0
19145,0,2.6478,0,4,0
19147,0,3.3761,0,3,0
19149,0,2.3830999999999998,0,5,1
19151,0,3.0216,0,2,0
19153,11,2.0605,4,86,0
19155,3,2.0385,2,14,0
19157,0,3.2425,1,4,1
19159,3,8.1733,0,1,0
19161,0,2.0574,0,2,0
19163,5,1.8502999999999998,2,25,0
19165,0,3.4922,0,4,0
